file_name,date,match_type,teams,venue,city,winner,gender,overs
66283.json,2002-06-27,ODI,"England, Sri Lanka","Trent Bridge, Nottingham",Nottingham,England,male,50
66284.json,2002-06-29,ODI,"England, India","Lord's, London",London,India,male,50
64814.json,2002-12-29,ODI,"New Zealand, India","McLean Park, Napier",Napier,New Zealand,male,50
64815.json,2003-01-01,ODI,"India, New Zealand","Jade Stadium, Christchurch",Christchurch,New Zealand,male,50
64816.json,2003-01-04,ODI,"India, New Zealand","Davies Park, Queenstown",Queenstown,New Zealand,male,50
64817.json,2003-01-08,ODI,"New Zealand, India","Westpac Stadium, Wellington",Wellington,India,male,50
65634.json,2003-01-09,ODI,"Sri Lanka, Australia",Sydney Cricket Ground,Sydney,Sri Lanka,male,50
65635.json,2003-01-11,ODI,"Australia, England","Bellerive Oval, Hobart",Hobart,Australia,male,50
65636.json,2003-01-13,ODI,"Sri Lanka, England",Sydney Cricket Ground,Sydney,Sri Lanka,male,50
64819.json,2003-01-14,ODI,"India, New Zealand","Westpac Park, Hamilton",Hamilton,New Zealand,male,50
65637.json,2003-01-15,ODI,"Sri Lanka, Australia","Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,male,50
65638.json,2003-01-17,ODI,"England, Sri Lanka",Adelaide Oval,Adelaide,England,male,50
65639.json,2003-01-19,ODI,"England, Australia",Adelaide Oval,Adelaide,Australia,male,50
65640.json,2003-01-21,ODI,"Sri Lanka, Australia",Melbourne Cricket Ground,Melbourne,Australia,male,50
65641.json,2003-01-23,ODI,"England, Australia",Sydney Cricket Ground,Sydney,Australia,male,50
65642.json,2003-01-25,ODI,"Australia, England",Melbourne Cricket Ground,Melbourne,Australia,male,50
65235.json,2003-02-09,ODI,"West Indies, South Africa","Newlands, Cape Town",Cape Town,West Indies,male,50
65237.json,2003-02-10,ODI,"Sri Lanka, New Zealand","Goodyear Park, Bloemfontein",Bloemfontein,Sri Lanka,male,50
65236.json,2003-02-10,ODI,"Zimbabwe, Namibia",Harare Sports Club,Harare,Zimbabwe,male,50
65238.json,2003-02-11,ODI,"Australia, Pakistan","New Wanderers Stadium, Johannesburg",Johannesburg,Australia,male,50
